source,target,weight
pscoach,natasharamsey,1
pscoach,rwoerner,6
pscoach,onceatweeter,1
kellythomas1,whitsundays,1
kellythomas1,reesan,1
kellythomas1,robsacks,1
kellythomas1,ritasoutback,1
kellythomas1,dizzycrane,1
kellythomas1,hitman1971,2
kellythomas1,travelboldly,1
discoverclocks,ariaajaeger,1
discoverclocks,owl311,1
awakeningstweet,zaibatsu,1
awakeningstweet,carinak,1
gallarotti,ded,1
gregruby,jawar,1
centerpet,artfullife4,3
centerpet,caldinha,1
centerpet,zoexdog,1
centerpet,lomac619,1
centerpet,maddybasset,1
centerpet,camp_bow_wow,1
centerpet,lolabt,1
centerpet,buddydogcast,1
blondielife,queendotty,1
blondielife,scutte,1
blondielife,doggedpursuit,1
blondielife,poopanonymous,1
blondielife,whippetsnippets,1
blondielife,dogvice,1
blondielife,pepperthedog,1
rocketman528,pscoach,2
rocketman528,billzucker,1
rocketman528,alicetrask,1
rocketman528,drrandpink,1
radiosrq,smdpi,3
radiosrq,susiecheng,14
radiosrq,nkenge,7
radiosrq,stillsafe,7
radiosrq,budor,11
radiosrq,arnaudjacobs,7
radiosrq,hawaiiankiko,16
radiosrq,fridayl,2
raynellum,scott_bryant,4
raynellum,rickgriffin,2
raynellum,gaylac,2
raynellum,ocdchick,2
raynellum,tammyburnell,2
